B_COUNTRY,country_names
20,Andorra
32,Argentina
36,Australia
50,Bangladesh
51,Armenia
68,Bolivia
76,Brazil
104,Myanmar
124,Canada
152,Chile
156,China
158,Taiwan ROC
170,Colombia
196,Cyprus
203,Czechia
218,Ecuador
231,Ethiopia
276,Germany
300,Greece
320,Guatemala
344,Hong Kong SAR
360,Indonesia
364,Iran
368,Iraq
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
410,South Korea
417,Kyrgyzstan
422,Lebanon
434,Libya
446,Macao SAR
458,Malaysia
462,Maldives
484,Mexico
496,Mongolia
504,Morocco
528,Netherlands
554,New Zealand
558,Nicaragua
566,Nigeria
586,Pakistan
604,Peru
608,Philippines
630,Puerto Rico
642,Romania
643,Russia
688,Serbia
702,Singapore
703,Slovakia
704,Vietnam
716,Zimbabwe
762,Tajikistan
764,Thailand
788,Tunisia
792,Turkey
804,Ukraine
818,Egypt
826,Great Britain
840,United States
858,Uruguay
862,Venezuela
909,Northern Ireland
10000,GPT
