self_1,s1,self_2,s2,self_3,s3,self_4,s4,self_5,s5,self_6,s6,self_7,s7,self_8,s8,self_9,s9,self_10,s10
I am a mother.,R,I am an elder.,C,I am a teacher.,C,I am an artist.,C,I am an athlete.,C,I am a musician.,C,I am a friend.,R,I am an advocate.,C,I am a leader.,C,I am a vegan.,C
I am a daughter/son.,R,I am a partner.,R,I am a friend.,R,I am a sibling.,R,I am a colleague.,R,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am an activist.,C,I am a caregiver.,C
I am American.,C,I am a woman.,C,I am an artist.,C,I am a Christian.,C,I am married.,C,I am an engineer.,C,I am a musician.,C,I am a teacher.,C,I am a writer.,C,I am a student.,C
I am a woman.,C,I am a college student.,C,I am a dog owner.,C,I am an artist.,C,I am a Christian.,C,I am a vegan.,C,I am a supporter of LGBTQ+ rights.,C,I am a collector of vinyl records.,C,I am a runner.,C,I am a volunteer at a local charity.,C
I am a human.,C,I am a woman.,C,I am a father.,R,I am a musician.,C,I am an artist.,C,I am a doctor.,C,I am a student.,C,I am a writer.,C,I am a friend.,R,I am a teacher.,C
I am a female.,C,I am an American.,C,I am a Christian.,C,I am a daughter.,R,I am a student.,C,I am a neighbor.,R,I am a friend.,R,I am a volunteer.,C,I am an employee.,C,I am a sister.,R
I am an artist.,C,I am a student.,C,I am an athlete.,C,I am a farmer.,C,I am a gardener.,C,I am a musician.,C,I am a writer.,C,I am a teacher.,C,I am a physician.,C,I am an entrepreneur.,C
I am a woman,C,I am an artist,C,I am a student,C,I am a parent,R,I am a teacher,C,I am a friend,R,I am an athlete,C,I am a writer,C,I am a businessperson,C,I am a musician,C
I am a son.,R,I am a daughter.,R,I am a brother.,R,I am a sister.,R,I am a student.,C,I am an employee.,C,I am a friend.,R,I am a spouse.,R,I am a parent.,R,I am a Christian.,C
I am a man,C,I am a woman,C,I am a student,C,I am a parent,R,I am an artist,C,I am a teacher,C,I am a friend,R,I am a worker,C,I am a leader,C,I am a dreamer,C
I am an introvert.,C,I am a Christian.,C,I am a student.,C,I am a writer.,C,I am a dancer.,C,I am a musician.,C,I am a painter.,C,I am a sports enthusiast.,C,I am a fashion enthusiast.,C,I am a penny pincher.,C
I am a woman.,C,I am an American.,C,I am a student.,C,I am a scientist.,C,I am a Christian.,C,I am an artist.,C,I am a teacher.,C,I am an entrepreneur.,C,I am a writer.,C,I am a fighter.,C
I am a student.,C,I am an athlete.,C,I am a parent.,R,I am an artist.,C,I am a teacher.,C,I am a writer.,C,I am a musician.,C,I am a scientist.,C,I am a philanthropist.,C,I am a businessperson.,C
I am a mother.,R,I am a son.,R,I am an American.,C,I am a Christian.,C,I am a dancer.,C,I am an artist.,C,I am an employee.,C,I am a homeowner.,C,I am a scientist.,C,I am a student.,C
I am a teacher.,C,I am an aging baby boomer.,C,I am a mother.,R,I am an entrepreneur.,C,I am a member of a faith community.,C,I am a musician.,C,I am a student.,C,I am an outdoors enthusiast.,C,I am a liberal.,C,I am an artist.,C
I am  a human being.,C,I am an American.,C,I am a man/woman/non-binary person.,C,I am a son/daughter/nephew/niece.,R,I am a student.,C,I am a friend.,R,I am a worker.,C,I am a believer.,C,I am a citizen.,C,I am an artist.,C
