core_1_1,core_1_2,core_1_3,core_1_4,core_1_5,core_1_6,core_3_1,core_3_2,core_3_3,core_3_4,core_3_5,core_3_6,core_3_7,core_3_8,core_3_9,core_4_1,core_4_2,core_4_3,core_4_4,core_4_5,core_4_6,core_5_1,core_5_2,core_5_3,core_5_4,core_5_5,core_5_6,core_5_7,core_5_8,core_5_9,core_6,core_7_1,core_7_2,core_7_3,happiness_1,happiness_2,happiness_3,happiness_4,happiness_5,happiness_6_1,happiness_6_2,happiness_6_3,happiness_6_4,happiness_6_5,happiness_7,trust_1,trust_2_1,trust_2_2,trust_2_3,trust_2_4,trust_2_5,trust_2_6,trust_3_1,trust_3_2,trust_3_3,trust_3_4,trust_3_5,trust_3_6,trust_3_7,trust_3_8,trust_3_9,trust_3_10,trust_3_11,trust_3_12,trust_3_13,trust_3_14,trust_3_15,trust_3_16,trust_3_17,trust_3_18,trust_3_19,trust_3_20,trust_3_21,trust_3_22,trust_3_23,trust_3_24,trust_3_25,trust_4,trust_5_1,trust_5_2,trust_5_3,trust_6_1,trust_6_2,trust_6_3,trust_6_4,trust_6_5,trust_6_6,trust_6_7,trust_6_8,trust_6_9,trust_6_10,trust_6_11,econ_values_1_1,econ_values_1_2,econ_values_1_3,econ_values_1_4,econ_values_1_5,econ_values_2,corruption_1,corruption_2_1,corruption_2_2,corruption_2_3,corruption_2_4,corruption_2_5,corruption_3,corruption_4,corruption_5,migration_1,migration_2_1,migration_2_2,migration_2_3,migration_2_4,migration_2_5,migration_2_6,migration_2_7,migration_2_8,migration_3,security_1,security_2_1,security_2_2,security_2_3,security_2_4,security_2_5,security_2_6,security_2_7,security_3_1,security_3_2,security_3_3,security_4_1,security_4_2,security_5_1,security_5_2,security_6_1,security_6_2,security_6_3,security_7,security_8,security_9,postmat_1_1,postmat_1_2,postmat_2_1,postmat_2_2,postmat_3_1,postmat_3_2,science_1_1,science_1_2,science_1_3,science_1_4,science_1_5,science_2,religion_1,religion_2_1,religion_2_2,religion_2_3,religion_2_4,religion_3_1,religion_3_2,religion_4,religion_5,religion_6,religion_7,religion_8,ethics_1,ethics_2_1,ethics_2_2,ethics_2_3,ethics_2_4,ethics_2_5,ethics_2_6,ethics_2_7,ethics_2_8,ethics_2_9,ethics_2_10,ethics_2_11,ethics_2_12,ethics_2_13,ethics_2_14,ethics_2_15,ethics_2_16,ethics_2_17,ethics_2_18,ethics_2_19,ethics_3_1,ethics_3_2,ethics_3_3,political_interest_1,political_interest_2,political_interest_3_1,political_interest_3_2,political_interest_3_3,political_interest_3_4,political_interest_3_5,political_interest_3_6,political_interest_3_7,political_interest_3_8,political_interest_4_1,political_interest_4_2,political_interest_4_3,political_interest_4_4,political_interest_5_1,political_interest_5_2,political_interest_5_3,political_interest_5_4,political_interest_6_1,political_interest_6_2,political_interest_6_3,political_interest_6_4,political_interest_7_1,political_interest_7_2,political_interest_8_1,political_interest_8_2,political_interest_8_3,political_interest_8_4,political_interest_8_5,political_interest_8_6,political_interest_8_7,political_interest_8_8,political_interest_8_9,political_interest_8_10,political_interest_9,political_interest_10,political_culture_1_1,political_culture_1_2,political_culture_1_3,political_culture_1_4,political_culture_1_5,political_culture_2,political_culture_3_1,political_culture_3_2,political_culture_3_3,political_culture_3_4,political_culture_3_5,political_culture_3_6,political_culture_3_7,political_culture_3_8,political_culture_3_9,political_culture_4,political_culture_5,political_culture_6,political_culture_7,political_culture_8
1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,5,3,3,3,3,3,3,3.,3,2,2.,2,2,3,3,5,8,5,3,2,3,3,3,3,2,2,2,2,3,2,3,3,4,4,2,3,3,2,3,4,4,3,3,4,3,3,2,3,3,3,3,3,4,2,2,4,4,2,1. واشنگتن دی سی.,2. حقوق بشر.,0,0,2,0,0,0,0,0,0,2,2,5,5,5,5,5,1,6,4,3,3,3,3,۲,3,۷,3,2,2,1,1,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,۲,4.,3,3,3,3,3,3,2,1,2,4,2,2,2,2,3,2,1,1,1,2,3,4,4,2,2,7,9,5,5,5,6,5,1,1,2,۲,3,4,5,8,3. یک ملحد,2,2,5,5,5,5,3,3,5,5,5,5,5,3,6,5,3.,3,5,5,5,5.,3,4,3,2,2,1,3,3,4,4,4,4 (کمتر از ماهانه یا هرگز),4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,3,2,3,2,4,3,3,2,4,5,4,3,9,5,5,9,۷,9,10,8,7,5,2,3
2,1,1,4,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,5,3,3,3,3,3,3,3,3,2,2,2,2,2,3,7,5,6,3,2,3,2,2,3,2,3,2,۲,2,3,3.,3,4,۳ - خیلی زیاد نیست,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4. اصلاً,4,2,3. ژنو.,1,2,0,0,0,0,0,0,2,0,2,2,5,5,5,5,7,1,6,4,2,3,2 - تعداد کمی از آنها,3,3,3,7,4,2,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,3,3,3,2,3,3,3,3,2,1,2,4,3,2,2,2,3,2,1,1,1,4. تلاش برای زیباتر شدن شهرها و حومه شهر,4,4. محافظت از آزادی بیان,2,2,2,8,10,6,8,5,6.,5,1.,1,2,1,3,4,5,6,2,2,2,۷,5,۸,3,5,5,5,5,5,5,5,3.,5,3,3,3,5,5,5,5,2,3,3,2,2,2,4. کمتر از ماهانه یا هرگز.,4,4,4,4,4,4,2,2,2.,2,2,2,2,2,2,2. ممکن است این کار را انجام دهد.,2,2,2,2,3,2,2,2,2,3.,3,4,3,3,3,3,4.,2,3,2,4,5,۴,۶,9,5,5,9,5,8,10,7,6,5,3,2
2.,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,2,2,2,3,2,5,6,5,3,2,2,2,3,3,1,3,3,2,2,2,2,4,4,3,3,4,3,3,3,3,2,3,3,2,3,3,3,3,2,4,3,4,3,4,3,2,4,2,1. واشنگتن دی سی,2. حقوق بشر.,0,1,0,0,0,0,0,0,0,2,2,5,5,5,۴,5,1,7,3,3,3,2,3,3,3,7,3,2,2,1,2,0,1,1,1,2,3,3,3,3,3,2,3,3,2,۲,2,4,4,2,2,2,2,3,1,1,1,2.,3.,4,4,2. پیشرفت به سمت جامعه ای کمتر غیر شخصی و انسانی تر.,2. پیشرفت به سمت جامعه ای کمتر غیر شخصی و انسانی تر,8,8,7,8,5,5,5,1,1,2,1,3- مخالف,4,4,5,2,2,2,۶,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,۳,5,5,5,3,4,4,2,2,2,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,3,4,3,3,2,4,2,4,3,3,2,4,2,2,2,4,5,4,۶,7,3,5,9,5,8,10,8,7,5,2,3.
2,2,1,2,2,4,2,2,2,2,2,2,2,2,۲,2,2,3,3,3,2,5,3,3,3,3,3,3,2,3,2,2,2,2,2,3,5,7,7,3,2,2,2,2,3,1,3,3,3,2,2,3,3,4,3. خیلی زیاد نیست.,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3. خیلی زیاد نیست.,3,3,3,3,3,4,2,3,1,0,0,0,0,0,0,2,0,0,0,2,5,5,5,5,5,1,5,3,2,2,3,3,3,3,8,4,2,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند,3,3,2,2,3,3,2,3,1,1,2,4,2,2,2,3,3,2,1,1,1,3,3,4,4,2,2,8,7,5,7,4,5,5,1,۲,2,1,3,4,5,5,2,2,2,5,5,7,5,5,4,5,5,5,5,5,5,5,2,2,4,5,5,5,5,2,4,4,2,2,1,4,4 (کمتر از ماهانه یا هرگز),4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,2,3,2,4,2.,3,2,4,5,5,۶,۹,4,4,9,5,8,10,7,6,5,3,3
1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3. مخالف.,3,2,5,3,3,3,3,3,3,3,3,2,2,2,2,2,3,5,7,5,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,۳. خیلی زیاد نیست.,4,3,3,3,3,3,3,3,3,3,3,3,3,5,2,1. واشنگتن دی سی,2. حقوق بشر.,0,0,2,0,0,0,0,2,0,2,2,5,5,5,5,5,1,7,3,3,2,3,2,3,3,8,4,1,2,1,1,1,1,1,1,2,3,3,4,3,3,3,2,3,2,1,2,2,2,۲,۲,2,3,2,1,1,۲,3,4,4,2,2. پیشرفت به سمت جامعه ای کمتر غیر شخصی و انسانی تر.,2,۸,8,۶,5,5,7,5,1,۲,2,2,3,4,4,5,1. یک فرد مذهبی,2,2,5,5.,5,5,5,5,5,5,5,5,5,5,6,4,3,5,3,5,6,5,2,4,4,3,2,1,4,4,4,4,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,3,4,4,2,3,2,4,5,۶,۵,8,5,5,9,5,8,10,7,5,5,2,2
1,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,5,3,3,3,3,3,3,3,3,2. جامعه ما باید به تدریج با اصلاحات بهبود یابد.,2,2,2,2,3,5,7,6,2,2,2,2,3,3,2,2,3,3,3,2,2,4,4,4,2,3,3,3,3,3,۳. خیلی زیاد نیست.,3,2,2,3,3,3,3,2,2,3,3,3,2,2,3,5,2. چین.,1. واشنگتن دی سی,2,0,0,0,0,0,0,0,2,0,0,2,4,5,5,7,5,1,7,3,3,3,2,3,3,3,۸,4,2,2,1,1.5,1,1,1,1,2,3,3,3,1,3.,2,3,2,1,1,1,4,2,2,2,3,2,4,1,1,۲,3,2.,4,4,2,2,8,8,5,5,5,6,5,1,1,2,1,3.,4,5,3,2,2,2,6,5,5,5,5,5,5,5,5,5,5,5,5,4.,2,5,5,5,5,5,3,4,4,2,2,2,4,3 (ماهانه),4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,3,3,2,3,2,2,3,3,4,2,3,2,4,5,6,4,8,۳,3,9,5,9.,10,7,6,5,3,3
1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,5,3,3,3,3,3,3,3,3,2,2,2,2 - ذهن نباشید.,3,3,۵,7,۸,2,2,2,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3. خیلی زیاد نیست.,4,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3. خیلی زیاد نیست.,3,6,2. چین,1. واشنگتن دی سی,1,0,0,0,0,0,0,1,0,0,0,2,5,5,7,6,5,1,7,4,3,3,2,3,3,3,۸,4,2,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,2,3,3,3,3,2,3,3,2,1,1,۴,۴,2,2,2,3,2,2,1,1,2,2,4,4. محافظت از آزادی بیان.,2,2,8,8,5,7,5,5,5,1,1,2,1,3. مخالف.,4,5,4,2,2,2,5,5,۷,3,5,4,5,5,5,5,5,5,5,5,3,3,5,6,5,5,3,4,3,2,2.,4,4,4,4,4 (کمتر از ماهانه یا هرگز),4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2.,2,2,3,4,3,3,3,2,2,4,2,3,2,4,2,2,2,4,5,4,۳,8,4,4,9,۷,8,10,۸,6,5,2,2
1,2,2,3,3,2,۲,2,2,2,2,1,2,2,2,2,3,3,3,3,2,5,3,3,3,3,3,3,3,3,2,2,2.,2,3,3,6,6,5,2,3,2,2,3,3,2,3,2,2,3,3.,3,4,4,3,۲,3. خیلی زیاد نیست.,۳. خیلی زیاد نیست.,4,3,3,4,3,3. خیلی زیاد نیست.,3,3,2,3,3. خیلی زیاد نیست.,4,3,3,3,3,3,3,3,5,2. چین,1. واشنگتن دی سی,2. حقوق بشر.,0,0,0,0 (متعلق به آن نیست).,0,0,0,0,0,0,0,5,6,4,5,6,1,6,3,2,3,3,3,3,3,7,4,2,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,3,3,3,3,3,3,3,2,1,2,2,4,3,۲,2,2,2,3,1,1,1,4,3,4,4. محافظت از آزادی بیان.,2,2,8,8,6,8,5,۷,5,1,1,2,1,3,4,6,3,2,2,2,7,5,5,5,5,3,5,5,5,5,5,5,8.,3,3,5,5,5,5,5,2,3,3,3,2,1,4,4,4,4 (کمتر از ماهانه یا هرگز),4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2. (نسبتاً اغلب),3,3,3,2,3,2,3,3,2,4,2,3,3,4,5,۶,6,8.,4,5,9,5,8,10,8,7,5,3,2
1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2.,2,2,2,3,5,7,5,2,3,2,2,2,3,2,2,2,2,2,2,3,3,۲,3,3,3,3,۳,3,4,3,3,3,4,3,3,3,3,2,3,3. خیلی زیاد نیست.,2,۲,3,4,3,5,2,1. واشنگتن دی سی.,2. حقوق بشر,0,0,0,0,0,0,2,0,0,2,2,5.,5,5,5,5,1,6,3,3,3,2,3,3,3,7,3,1,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,3,3,3,3,2,4.,3,2,۲,1,2,4,2,2,۲,3,4,3,1,1,۲,4,2,4,2,2,2. پیشرفت به سمت جامعه ای کمتر غیر شخصی و انسانی تر,8,۸,5.,6,5,7,6,1,1,2,2,3. مخالف.,4,5,2,1. یک فرد مذهبی,2,2,5,5,5,5,4,5,5,۵,5,5,5,5,5,5,3,5,5,5,5,5,3,4,3,3,2,3,4,2. هفتگی,4,4,4,4,4. کمتر از ماهانه یا هرگز.,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,3,2,2,3,4,2,4,2,4,5,5,6,8,5,5,9,7,8,10,9,7,5,3,3
1,2.,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,5,3,4,3,3,3,3,3,3,2,2,2,3,3,3,5,7,6,3,2,2,3,4,3,1,3,3,3,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3. خیلی زیاد نیست.,5,2,1. واشنگتن دی سی,2. حقوق بشر.,0,0,0,0,0,0,2,0,0,0,2,5,5,5,5,5,1,6,3,3,3,2,3,3,3,6,4,2,2,1,2,1,1,1,1,2. بگذارید مردم تا زمانی که مشاغل موجود باشد بیایند.,3,3,3,3,3,3,3,2,2,2,2,4,2,2,2,2,2,3,1,1,1,4,4,4,2,3,2,8,9,6,6,5,7,نمی‌دانم.,1,1,2,1,3,4,5,5,2. شخص مذهبی نیست.,2,2,5,5,5,5,6,5,5,5,5,5,5,5,5.,5,۱.,5,5,۶,5.,5,2,4,4,3,2,2 (هفتگی),4,4,4,3,4,4,3,2,2,2,2,۲,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,2,3,2,3,۳,4,2,3,2,4,5,5,۷,8,5,5,9,5,8,10,7,8,5,2,2
