model,input_price,output_price
minimax/minimax-m2.5:free,0,0
nvidia/nemotron-3-super-120b-a12b:free,0,0
meta-llama/llama-4-maverick,0.15,0.6
google/gemini-3.1-flash-lite,0.25,1.5
moonshotai/kimi-k2.5,0.44,2
z-ai/glm-5,0.6,1.92
qwen/qwen3.6-flash,0.75,3
deepseek/deepseek-v4-pro,1.392,2.784
openai/gpt-5.4-mini,0.75,4.5
anthropic/claude-haiku-4.5,1,5
deepseek/deepseek-v4-flash,0.14,0.28
openai/gpt-5-nano,0.05,0.4
openai/gpt-5.4-nano,0.2,1.25
openai/gpt-5.1,1.25,10
anthropic/claude-sonnet-4.6,3,15
google/gemini-3.1-pro-preview,4,18
openai/gpt-5.4,5,22.5
anthropic/claude-opus-4.7,5,25
openai/gpt-5.5,10,45
