Date,Slug,Requests
"2026-05-19 00:00:00","deepseek/deepseek-v4-pro","3453"
"2026-05-19 00:00:00","moonshotai/kimi-k2.5","1091"
"2026-05-19 00:00:00","minimax/minimax-m2.5:free","2098"
"2026-05-19 00:00:00","qwen/qwen3.6-flash","2173"
"2026-05-18 00:00:00","z-ai/glm-5","353"
"2026-05-18 00:00:00","deepseek/deepseek-v4-pro","5"
"2026-05-18 00:00:00","qwen/qwen3.6-flash","2504"
"2026-05-18 00:00:00","moonshotai/kimi-k2.5","31"
"2026-05-17 00:00:00","moonshotai/kimi-k2.5","668"
"2026-05-17 00:00:00","minimax/minimax-m2.5:free","255"
"2026-05-16 00:00:00","minimax/minimax-m2.5:free","7358"
"2026-05-16 00:00:00","deepseek/deepseek-v4-pro","6361"
"2026-05-15 00:00:00","anthropic/claude-haiku-4.5","24688"
"2026-05-15 00:00:00","moonshotai/kimi-k2.5","303"
"2026-05-15 00:00:00","minimax/minimax-m2.5:free","5"
"2026-05-15 00:00:00","openai/gpt-5.4-mini","24686"
"2026-05-15 00:00:00","google/gemini-3.1-flash-lite","24720"
"2026-05-15 00:00:00","meta-llama/llama-4-maverick","31745"
"2026-05-14 00:00:00","anthropic/claude-haiku-4.5","6"
"2026-05-14 00:00:00","moonshotai/kimi-k2.5","64"
"2026-05-14 00:00:00","deepseek/deepseek-v4-pro","32"
"2026-05-14 00:00:00","openai/gpt-5.4-mini","6"
"2026-05-13 00:00:00","moonshotai/kimi-k2.5","240"
"2026-05-13 00:00:00","deepseek/deepseek-v4-pro","60"
"2026-05-13 00:00:00","minimax/minimax-m2.5:free","1249"
"2026-05-13 00:00:00","openai/gpt-5.4-mini","484"
"2026-05-13 00:00:00","anthropic/claude-haiku-4.5","484"
"2026-05-13 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","1"
"2026-05-13 00:00:00","google/gemini-3.1-flash-lite","242"
"2026-05-12 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","40"
"2026-05-12 00:00:00","minimax/minimax-m2.5:free","789"
"2026-05-11 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","242"
"2026-05-11 00:00:00","minimax/minimax-m2.5:free","313"
"2026-05-10 00:00:00","minimax/minimax-m2.5:free","443"
"2026-05-10 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","204"
