Date,Slug,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-05-19 00:00:00","deepseek/deepseek-v4-pro","2038849","3998845","3541098"
"2026-05-19 00:00:00","moonshotai/kimi-k2.5","1048296","6362649","5836577"
"2026-05-19 00:00:00","minimax/minimax-m2.5:free","607311","585145","684714"
"2026-05-19 00:00:00","qwen/qwen3.6-flash","1984981","10252437","8943686"
"2026-05-18 00:00:00","z-ai/glm-5","818080","8578937","13514818"
"2026-05-18 00:00:00","deepseek/deepseek-v4-pro","2198","4317","5355"
"2026-05-18 00:00:00","qwen/qwen3.6-flash","3014902","19665609","17103662"
"2026-05-18 00:00:00","moonshotai/kimi-k2.5","15824","58912","68890"
"2026-05-17 00:00:00","moonshotai/kimi-k2.5","807351","3736853","3505340"
"2026-05-17 00:00:00","minimax/minimax-m2.5:free","82476","71427","82757"
"2026-05-16 00:00:00","minimax/minimax-m2.5:free","2322991","2257217","2645773"
"2026-05-16 00:00:00","deepseek/deepseek-v4-pro","3704419","13348125","17261915"
"2026-05-15 00:00:00","anthropic/claude-haiku-4.5","19898129","988468","0"
"2026-05-15 00:00:00","moonshotai/kimi-k2.5","67680","312608","223327"
"2026-05-15 00:00:00","minimax/minimax-m2.5:free","1830","2782","2542"
"2026-05-15 00:00:00","openai/gpt-5.4-mini","4306509","460575","0"
"2026-05-15 00:00:00","google/gemini-3.1-flash-lite","4071948","347717","0"
"2026-05-15 00:00:00","meta-llama/llama-4-maverick","11378253","3813893","0"
"2026-05-14 00:00:00","anthropic/claude-haiku-4.5","5106","288","0"
"2026-05-14 00:00:00","moonshotai/kimi-k2.5","17784","459778","433812"
"2026-05-14 00:00:00","deepseek/deepseek-v4-pro","12831","195788","314048"
"2026-05-14 00:00:00","openai/gpt-5.4-mini","1314","156","0"
"2026-05-13 00:00:00","moonshotai/kimi-k2.5","56997","2329425","2263860"
"2026-05-13 00:00:00","minimax/minimax-m2.5:free","398030","376483","437168"
"2026-05-13 00:00:00","deepseek/deepseek-v4-pro","30875","357681","596067"
"2026-05-13 00:00:00","openai/gpt-5.4-mini","84434","8728","0"
"2026-05-13 00:00:00","anthropic/claude-haiku-4.5","390096","19378","0"
"2026-05-13 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","188","537","379"
"2026-05-13 00:00:00","google/gemini-3.1-flash-lite","37672","3403","0"
"2026-05-12 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","16857","53647","22757"
"2026-05-12 00:00:00","minimax/minimax-m2.5:free","254817","224543","259203"
"2026-05-11 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","102135","155494","165891"
"2026-05-11 00:00:00","minimax/minimax-m2.5:free","99828","86992","101484"
"2026-05-10 00:00:00","minimax/minimax-m2.5:free","144541","129816","150261"
"2026-05-10 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","81600","92897","97144"
