COUNTRY,WVS_COUNTRY
Andorra,Andorra
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Bangladesh,Bangladesh
Bolivia,Bolivia
Brazil,Brazil
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Cyprus,Cyprus
Czechia,Czechia
Ecuador,Ecuador
Egypt,Egypt
Ethiopia,Ethiopia
Germany,Germany
GPT,GPT
Great Britain,Great Britain
Greece,Greece
Guatemala,Guatemala
Hong Kong SAR,Hong Kong SAR
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kyrgyzstan,Kyrgyzstan
Lebanon,Lebanon
Libya,Libya
Macao SAR,Macao SAR
Malaysia,Malaysia
Maldives,Maldives
Mexico,Mexico
Mongolia,Mongolia
Morocco,Morocco
Myanmar,Myanmar
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
Northern Ireland,Northern Ireland
Pakistan,Pakistan
Peru,Peru
Philippines,Philippines
Puerto Rico,Puerto Rico
Romania,Romania
Russia,Russia
Serbia,Serbia
Singapore,Singapore
Slovakia,Slovakia
South Korea,South Korea
Taiwan ROC,Taiwan ROC
Tajikistan,Tajikistan
Thailand,Thailand
Tunisia,Tunisia
Turkey,Turkey
Ukraine,Ukraine
United States,United States
Uruguay,Uruguay
Venezuela,Venezuela
Vietnam,Vietnam
Zimbabwe,Zimbabwe
