Old,New
1,core_1_1
2,core_1_2
3,core_1_3
4,core_1_4
5,core_1_5
6,core_1_6
7,core_2_1
8,core_2_2
9,core_2_3
10,core_2_4
11,core_2_5
12,core_2_6
13,core_2_7
14,core_2_8
15,core_2_9
16,core_2_10
17,core_2_11
18,core_3_1
19,core_3_2
20,core_3_3
21,core_3_4
22,core_3_5
23,core_3_6
24,core_3_7
25,core_3_8
26,core_3_9
27,core_4_1
28,core_4_2
29,core_4_3
30,core_4_4
31,core_4_5
32,core_4_6
33,core_5_1
34,core_5_2
35,core_5_3
36,core_5_4
37,core_5_5
38,core_5_6
39,core_5_7
40,core_5_8
41,core_5_9
42,core_6
43,core_7_1
44,core_7_2
45,core_7_3
46,happiness_1
47,happiness_2
48,happiness_3
49,happiness_4
50,happiness_5
51,happiness_6_1
52,happiness_6_2
53,happiness_6_3
54,happiness_6_4
55,happiness_6_5
56,happiness_7
57,trust_1
58,trust_2_1
59,trust_2_2
60,trust_2_3
61,trust_2_4
62,trust_2_5
63,trust_2_6
64,trust_3_1
65,trust_3_2
66,trust_3_3
67,trust_3_4
68,trust_3_5
69,trust_3_6
70,trust_3_7
71,trust_3_8
72,trust_3_9
73,trust_3_10
74,trust_3_11
75,trust_3_12
76,trust_3_13
77,trust_3_14
78,trust_3_15
79,trust_3_16
80,trust_3_17
81,trust_3_18
83,trust_3_19
84,trust_3_20
85,trust_3_21
86,trust_3_22
87,trust_3_23
88,trust_3_24
89,trust_3_25
90,trust_4
91,trust_5_1
92,trust_5_2
93,trust_5_3
94,trust_6_1
95,trust_6_2
96,trust_6_3
97,trust_6_4
98,trust_6_5
99,trust_6_6
100,trust_6_7
101,trust_6_8
102,trust_6_9
103,trust_6_10
104,trust_6_11
106,econ_values_1_1
107,econ_values_1_2
108,econ_values_1_3
109,econ_values_1_4
110,econ_values_1_5
111,econ_values_2
112,corruption_1
113,corruption_2_1
114,corruption_2_2
115,corruption_2_3
116,corruption_2_4
117,corruption_2_5
118,corruption_3
119,corruption_4
120,corruption_5
121,migration_1
122,migration_2_1
123,migration_2_2
124,migration_2_3
125,migration_2_4
126,migration_2_5
127,migration_2_6
128,migration_2_7
129,migration_2_8
130,migration_3
131,security_1
132,security_2_1
133,security_2_2
134,security_2_3
135,security_2_4
136,security_2_5
137,security_2_6
138,security_2_7
139,security_3_1
140,security_3_2
141,security_3_3
142,security_4_1
143,security_4_2
144,security_5_1
145,security_5_2
146,security_6_1
147,security_6_2
148,security_6_3
149,security_7
150,security_8
151,security_9
152,postmat_1_1
153,postmat_1_2
154,postmat_2_1
155,postmat_2_2
156,postmat_3_1
157,postmat_3_2
158,science_1_1
159,science_1_2
160,science_1_3
161,science_1_4
162,science_1_5
163,science_2
164,religion_1
165,religion_2_1
166,religion_2_2
167,religion_2_3
168,religion_2_4
169,religion_3_1
170,religion_3_2
171,religion_4
172,religion_5
173,religion_6
174,religion_7
175,religion_8
176,ethics_1
177,ethics_2_1
178,ethics_2_2
179,ethics_2_3
180,ethics_2_4
181,ethics_2_5
182,ethics_2_6
183,ethics_2_7
184,ethics_2_8
185,ethics_2_9
186,ethics_2_10
187,ethics_2_11
188,ethics_2_12
189,ethics_2_13
190,ethics_2_14
191,ethics_2_15
192,ethics_2_16
193,ethics_2_17
194,ethics_2_18
195,ethics_2_19
196,ethics_3_1
197,ethics_3_2
198,ethics_3_3
199,political_interest_1
200,political_interest_2
201,political_interest_3_1
202,political_interest_3_2
203,political_interest_3_3
204,political_interest_3_4
205,political_interest_3_5
206,political_interest_3_6
207,political_interest_3_7
208,political_interest_3_8
209,political_interest_4_1
210,political_interest_4_2
211,political_interest_4_3
212,political_interest_4_4
213,political_interest_5_1
214,political_interest_5_2
215,political_interest_5_3
216,political_interest_5_4
217,political_interest_6_1
218,political_interest_6_2
219,political_interest_6_3
220,political_interest_6_4
221,political_interest_7_1
222,political_interest_7_2
224,political_interest_8_1
225,political_interest_8_2
226,political_interest_8_3
227,political_interest_8_4
228,political_interest_8_5
229,political_interest_8_6
230,political_interest_8_7
231,political_interest_8_8
232,political_interest_8_9
233,political_interest_8_10
234,political_interest_9
234A,political_interest_10
235,political_culture_1_1
236,political_culture_1_2
237,political_culture_1_3
238,political_culture_1_4
239,political_culture_1_5
240,political_culture_2
241,political_culture_3_1
242,political_culture_3_2
243,political_culture_3_3
244,political_culture_3_4
245,political_culture_3_5
246,political_culture_3_6
247,political_culture_3_7
248,political_culture_3_8
249,political_culture_3_9
250,political_culture_4
251,political_culture_5
252,political_culture_6
253,political_culture_7
254,political_culture_8
